epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,470.605,0.34521,0.31894,0.93337,0.67348,0.45707,0.56028,0.36439,1.54507,2.17603,1.89569,0.0004357,0.0004357,0.0004357
59,478.741,0.3349,0.31695,0.93675,0.65568,0.51003,0.58053,0.38516,1.54571,1.82219,1.95985,0.0004258,0.0004258,0.0004258
60,486.783,0.3377,0.31672,0.93308,0.65177,0.49896,0.55833,0.36455,1.51654,2.00101,1.87144,0.0004159,0.0004159,0.0004159
61,494.791,0.34569,0.32382,0.93472,0.6654,0.43194,0.52325,0.32983,1.58845,2.33,1.98009,0.000406,0.000406,0.000406
62,502.731,0.3297,0.30324,0.93091,0.66806,0.37679,0.48434,0.31977,1.59324,2.53717,1.99105,0.0003961,0.0003961,0.0003961
63,510.72,0.33557,0.30851,0.93168,0.63295,0.54224,0.59121,0.38141,1.56067,1.76537,1.95203,0.0003862,0.0003862,0.0003862
64,518.725,0.3235,0.30591,0.92699,0.62088,0.43928,0.54975,0.35576,1.53638,2.0961,1.86566,0.0003763,0.0003763,0.0003763
65,526.783,0.32983,0.29604,0.92851,0.64847,0.51122,0.58786,0.39803,1.47843,1.87251,1.85952,0.0003664,0.0003664,0.0003664
66,534.595,0.33134,0.30571,0.93221,0.6176,0.41401,0.5202,0.35103,1.49493,2.34699,1.82545,0.0003565,0.0003565,0.0003565
67,542.532,0.32134,0.29789,0.92599,0.66268,0.40222,0.52988,0.36279,1.54212,2.42418,1.86856,0.0003466,0.0003466,0.0003466
68,550.249,0.32762,0.29124,0.92479,0.68935,0.41442,0.542,0.36243,1.54693,2.29526,1.93277,0.0003367,0.0003367,0.0003367
69,558.08,0.32138,0.29337,0.932,0.64486,0.4889,0.58116,0.39041,1.49376,2.0675,1.79104,0.0003268,0.0003268,0.0003268
70,565.939,0.32285,0.28931,0.92817,0.67986,0.44119,0.54885,0.36086,1.55051,2.35372,1.87164,0.0003169,0.0003169,0.0003169
71,573.822,0.32383,0.29607,0.92646,0.70204,0.44238,0.56451,0.37707,1.51912,2.47087,1.84869,0.000307,0.000307,0.000307
72,581.567,0.31433,0.28041,0.92116,0.64988,0.49849,0.59185,0.38154,1.48007,2.01569,1.82338,0.0002971,0.0002971,0.0002971
73,589.455,0.32204,0.28922,0.9251,0.66224,0.43753,0.55467,0.3691,1.54762,2.29647,1.90091,0.0002872,0.0002872,0.0002872
74,597.248,0.30972,0.27677,0.91772,0.70629,0.45472,0.57668,0.38139,1.53444,2.4172,1.86015,0.0002773,0.0002773,0.0002773
75,605.387,0.311,0.27474,0.91501,0.69225,0.47852,0.56894,0.3726,1.57336,2.26301,1.89488,0.0002674,0.0002674,0.0002674
76,613.116,0.30581,0.27063,0.91853,0.71191,0.49444,0.59233,0.38276,1.49366,2.08173,1.84303,0.0002575,0.0002575,0.0002575
77,620.879,0.31223,0.27846,0.92054,0.67738,0.53564,0.60712,0.40393,1.4952,1.98684,1.86623,0.0002476,0.0002476,0.0002476
78,628.627,0.3011,0.26934,0.91806,0.6903,0.47899,0.60102,0.40143,1.53183,2.21336,1.89697,0.0002377,0.0002377,0.0002377
